"","date","temp","dew_pt","hum","wind_spd","wind_gust","dir","vis","pressure","wind_chill","heat_index","precip","precip_rate","precip_total","cond","fog","rain","snow","hail","thunder","tornado"
"165",2018-01-22 08:30:00,63,57,75,4.6,NA,"NNW",2,29.95,NA,NA,NA,NA,NA,"Haze",0,0,0,0,0,0
"166",2018-01-22 11:30:00,79,61,45,3.5,NA,"SE",2,29.94,NA,NA,NA,NA,NA,"",0,0,0,0,0,0
"167",2018-01-22 14:30:00,81,65,48,4.6,NA,"SSE",2,29.86,NA,NA,NA,NA,NA,"",0,0,0,0,0,0
"168",2018-01-22 17:30:00,76,64,58,2.3,NA,"SSE",2,29.85,NA,NA,NA,NA,NA,"",0,0,0,0,0,0
"169",2018-01-22 20:30:00,72,63,65,0,NA,"",2,29.91,NA,NA,NA,NA,NA,"",0,0,0,0,0,0
"170",2018-01-22 23:30:00,70,61,65,2.3,NA,"NW",2,29.91,NA,NA,NA,NA,NA,"",0,0,0,0,0,0
"171",2018-01-23 02:30:00,67,59,70,2.3,NA,"NW",2,29.88,NA,NA,NA,NA,NA,"",0,0,0,0,0,0
"172",2018-01-23 05:30:00,61,57,82,4.6,NA,"NW",2,29.88,NA,NA,NA,NA,NA,"Haze",0,0,0,0,0,0
"173",2018-01-23 08:30:00,64,58,77,3.5,NA,"NNW",2,29.94,NA,NA,NA,NA,NA,"Haze",0,0,0,0,0,0
"174",2018-01-23 11:30:00,78,62,48,3.5,NA,"SSE",2,29.93,NA,NA,NA,NA,NA,"",0,0,0,0,0,0
"175",2018-01-23 14:30:00,82,64,44,3.5,NA,"SSE",2,29.84,NA,NA,NA,NA,NA,"",0,0,0,0,0,0
"176",2018-01-23 17:30:00,77,63,52,4.6,NA,"SSE",2,29.84,NA,NA,NA,NA,NA,"",0,0,0,0,0,0
"177",2018-01-23 20:30:00,74,62,58,5.8,NA,"South",2,29.87,NA,NA,NA,NA,NA,"",0,0,0,0,0,0
"178",2018-01-23 23:30:00,70,63,73,3.5,NA,"West",2,29.86,NA,NA,NA,NA,NA,"",0,0,0,0,0,0
"179",2018-01-24 02:30:00,66,61,80,2.3,NA,"NNW",1,29.84,NA,NA,NA,NA,NA,"Haze",0,0,0,0,0,0
"180",2018-01-24 05:30:00,63,59,83,4.6,NA,"NNW",1,29.85,NA,NA,NA,NA,NA,"Haze",0,0,0,0,0,0
"181",2018-01-24 08:30:00,66,60,77,2.3,NA,"NW",1,29.91,NA,NA,NA,NA,NA,"Haze",0,0,0,0,0,0
"182",2018-01-24 11:30:00,77,64,55,2.3,NA,"SE",2,29.87,NA,NA,NA,NA,NA,"",0,0,0,0,0,0
"183",2018-01-24 14:30:00,80,65,52,4.6,NA,"South",2,29.78,NA,NA,NA,NA,NA,"",0,0,0,0,0,0
"184",2018-01-24 17:30:00,76,68,69,6.9,NA,"South",2,29.78,NA,NA,NA,NA,NA,"",0,0,0,0,0,0
"185",2018-01-24 20:30:00,75,69,77,5.8,NA,"South",2,29.84,NA,NA,NA,NA,NA,"",0,0,0,0,0,0
"186",2018-01-24 23:30:00,72,68,84,0,NA,"",2,29.84,NA,NA,NA,NA,NA,"Haze",0,0,0,0,0,0
"187",2018-01-25 02:30:00,68,65,87,2.3,NA,"NNW",1,29.82,NA,NA,NA,NA,NA,"Haze",0,0,0,0,0,0
